Area,Perimeter,Major_Axis_Length,Minor_Axis_Length,Convex_Area,Equiv_Diameter,Eccentricity,Solidity,Extent,Roundness,Aspect_Ration,Compactness,Class
56276,888.242,326.1485,220.2388,56831,267.6805,0.7376,0.9902,0.7453,0.8963,1.4809,0.8207,Çerçevelik
76631,1068.146,417.1932,234.2289,77280,312.3614,0.8275,0.9916,0.7151,0.844,1.7811,0.7487,Çerçevelik
71623,1082.987,435.8328,211.0457,72663,301.9822,0.8749,0.9857,0.74,0.7674,2.0651,0.6929,Çerçevelik
66458,992.051,381.5638,222.5322,67118,290.8899,0.8123,0.9902,0.7396,0.8486,1.7146,0.7624,Çerçevelik
66107,998.146,383.8883,220.4545,67117,290.1207,0.8187,0.985,0.6752,0.8338,1.7413,0.7557,Çerçevelik
73191,1041.46,405.8132,231.4261,73969,305.2698,0.8215,0.9895,0.7165,0.848,1.7535,0.7522,Çerçevelik
73338,1020.055,392.2516,238.5494,73859,305.5762,0.7938,0.9929,0.7187,0.8857,1.6443,0.779,Çerçevelik
69692,1049.108,421.4875,211.7707,70442,297.8836,0.8646,0.9894,0.6736,0.7957,1.9903,0.7067,Çerçevelik
95727,1231.609,488.1199,251.3086,96831,349.118,0.8573,0.9886,0.6188,0.793,1.9423,0.7152,Çerçevelik
73465,1047.767,413.6504,227.2644,74089,305.8407,0.8356,0.9916,0.7443,0.8409,1.8201,0.7394,Çerçevelik
83429,1114.561,438.5827,242.8826,84126,325.9219,0.8327,0.9917,0.7019,0.844,1.8057,0.7431,Çerçevelik
85461,1136.125,446.2935,245.1551,86344,329.8671,0.8356,0.9898,0.7457,0.832,1.8205,0.7391,Çerçevelik
71393,1096.533,459.2091,199.1305,72203,301.4969,0.9011,0.9888,0.6,0.7461,2.3061,0.6566,Çerçevelik
80151,1088.349,420.8842,244.2649,80854,319.4549,0.8144,0.9913,0.7285,0.8503,1.7231,0.759,Çerçevelik
68078,1016.821,403.0626,215.6027,68709,294.414,0.8449,0.9908,0.7377,0.8274,1.8695,0.7304,Çerçevelik
57934,933.357,368.7807,201.2084,58651,271.595,0.838,0.9878,0.7124,0.8357,1.8328,0.7365,Çerçevelik
61138,953.256,371.2713,211.3706,61753,279.0042,0.8221,0.99,0.7391,0.8455,1.7565,0.7515,Çerçevelik
61519,964.694,382.1808,205.6436,62227,279.8722,0.8429,0.9886,0.6728,0.8307,1.8585,0.7323,Çerçevelik
76073,1064.233,430.7576,225.3286,76576,311.222,0.8523,0.9934,0.7692,0.844,1.9117,0.7225,Çerçevelik
56882,926.303,368.015,197.4554,57544,269.1178,0.8439,0.9885,0.7403,0.8331,1.8638,0.7313,Çerçevelik
69350,1037.403,418.2706,211.9446,70249,297.1517,0.8621,0.9872,0.7469,0.8098,1.9735,0.7104,Çerçevelik
82196,1141.067,466.2324,225.8543,82991,323.5046,0.8748,0.9904,0.6702,0.7933,2.0643,0.6939,Çerçevelik
62165,936.716,356.8281,222.3935,62647,281.3378,0.782,0.9923,0.7237,0.8903,1.6045,0.7884,Çerçevelik
85913,1120.778,435.7355,251.4643,86577,330.7383,0.8167,0.9923,0.7386,0.8595,1.7328,0.759,Çerçevelik
68683,1021.57,409.83,214.3968,69337,295.7193,0.8522,0.9906,0.6526,0.827,1.9115,0.7216,Çerçevelik
61215,951.511,369.4055,212.7202,61936,279.1798,0.8176,0.9884,0.6779,0.8497,1.7366,0.7558,Çerçevelik
72713,1039.375,401.8137,231.1989,73336,304.2714,0.8179,0.9915,0.6861,0.8458,1.738,0.7572,Çerçevelik
58684,917.482,355.8436,210.4503,59202,273.3474,0.8064,0.9913,0.7156,0.8761,1.6909,0.7682,Çerçevelik
59652,932.197,359.1674,213.7165,60204,275.5926,0.8037,0.9908,0.675,0.8626,1.6806,0.7673,Çerçevelik
89091,1138.972,443.718,256.1033,89964,336.7999,0.8166,0.9903,0.7407,0.863,1.7326,0.759,Çerçevelik
58701,924.23,361.2761,207.3608,59204,273.387,0.8189,0.9915,0.6746,0.8636,1.7423,0.7567,Çerçevelik
67699,1023.719,405.671,213.4477,68507,293.5933,0.8504,0.9882,0.6923,0.8118,1.9006,0.7237,Çerçevelik
80555,1089.003,418.3991,246.1369,81584,320.259,0.8087,0.9874,0.7381,0.8536,1.6999,0.7654,Çerçevelik
68816,996.081,387.6093,227.5767,69403,296.0055,0.8095,0.9915,0.7542,0.8716,1.7032,0.7637,Çerçevelik
