node,X,Y
1,690309,1976022
2,683649,1973025
3,693306,1963368
4,686313,1958373
5,696636,1946718
6,671328,1968030
7,676323,1957041
8,655677,1967031
9,649350,1952712
10,665667,1949049
11,666333,1933398
12,676323,1935396
13,677988,1924407
14,679653,1945719
15,688977,1936062
16,692307,1925739
17,700965,1935396
18,702963,1927404
19,704295,1919412
20,678654,1912752
21,691641,1917747
22,705294,1911087
23,693972,1906425
24,679653,1904760
25,664002,1893771
26,680652,1891107
27,694971,1889775
28,707625,1900098
29,710955,1884447
30,680319,1878120
31,696303,1873791
32,689643,1861803
33,705627,1851147
34,705960,1865133
35,722610,1876122
36,723609,1856142
37,625374,1965033
38,550449,2013984
39,590076,2021310
40,573426,2021310
41,590076,2005326
42,573759,2005326
43,622377,2020977
44,606060,2021310
45,622377,2005326
46,605727,2004660
47,654345,2021310
48,638361,2021310
49,654012,2005326
50,638361,2005326
51,667998,2020311
52,683982,2001330
53,670329,2004660
54,551448,1990341
55,534798,1989675
56,551448,1976022
57,534798,1976022
58,582750,1991340
59,567099,1990674
60,582750,1977687
61,567099,1977021
62,613386,1991673
63,598068,1991340
64,613386,1978020
65,598401,1977687
66,644688,1992006
67,629037,1992006
68,644688,1979352
69,629370,1979019
70,677655,1991673
71,660672,1992339
72,676989,1981350
73,661005,1981350
74,687978,1992006
75,687978,1984347
76,635697,1963035
77,629037,1946718
78,645021,1945053
79,650016,1958706
80,646020,1930401
81,629370,1930068
82,646020,1914750
83,630369,1913751
84,657342,1930734
85,663003,1914750
86,647019,1898433
87,631035,1897767
88,647019,1882116
89,631035,1881450
90,662337,1902762
91,663003,1882116
92,608058,1847151
93,647685,1866132
94,631701,1865466
95,648018,1849482
96,632367,1849482
97,679320,1869129
98,663669,1866465
99,680652,1847151
100,664002,1850148
101,694305,1846152
102,648351,1833165
103,633033,1832832
104,649350,1817181
105,632700,1816848
106,681318,1834164
107,664668,1834164
108,681651,1817847
109,665334,1817181
110,714285,1834164
111,697968,1834830
112,714618,1817514
113,698301,1817514
114,726939,1834164
115,727272,1817847
116,681984,1801197
117,666333,1801197
118,682650,1784880
119,666666,1784880
120,714618,1801197
121,698301,1801197
122,714951,1785213
123,698634,1785213
124,727605,1794537
125,550782,1960371
126,535131,1959372
127,551448,1944054
128,534798,1943055
129,582084,1960704
130,567099,1960038
131,582750,1945386
132,567099,1944387
133,610056,1961703
134,598068,1961703
135,613386,1945386
136,597402,1945053
137,550782,1927071
138,534798,1927071
139,550449,1911753
140,535131,1911087
141,582417,1928736
142,567099,1928070
143,582417,1912752
144,567099,1911753
145,613386,1929735
146,598401,1928736
147,614385,1913085
148,598068,1912752
149,550782,1895103
150,534465,1895103
151,551115,1879119
152,534798,1878453
153,582750,1895769
154,567099,1895769
155,583083,1880118
156,567432,1879119
157,614385,1896435
158,598734,1896435
159,615051,1881450
160,599067,1880784
161,606726,1864800
162,453879,2013651
163,485847,2013651
164,525807,2021310
165,509823,2021976
166,526140,2005659
167,509490,2005326
168,448551,1982349
169,479520,1982349
170,518814,1989675
171,503163,1989009
172,518481,1975356
173,503163,1975356
174,448884,1950714
175,479520,1951380
176,519480,1958706
177,503163,1959039
178,518814,1943055
179,503496,1942056
180,448551,1918413
181,479853,1919412
182,518814,1926738
183,503496,1926072
184,519147,1910754
185,502830,1910421
186,448551,1886445
187,480186,1887444
188,519147,1894437
189,503829,1894104
190,519147,1878453
191,503829,1877454
192,554778,2142189
193,589410,2148849
194,572760,2148183
195,589743,2134197
196,574092,2133864
197,614385,2141856
198,643023,2148516
199,642690,2133864
200,555777,2110554
201,590076,2117547
202,573426,2117547
203,590076,2102229
204,573426,2101896
205,623043,2116881
206,606393,2117547
207,622377,2101896
208,605727,2102229
209,643023,2117880
210,640359,2102229
211,555111,2078253
212,589743,2085912
213,573759,2085912
214,589743,2068929
215,573759,2069928
216,622044,2085579
217,606060,2085246
218,622377,2070594
219,605727,2069595
220,638361,2085579
221,640359,2068929
222,555111,2046285
223,589410,2053611
224,573759,2053944
225,590076,2037960
226,573759,2036961
227,622710,2053611
228,606060,2053944
229,622377,2038293
230,606060,2038293
231,642357,2052945
232,654345,2038293
233,638361,2037294
234,421245,2141856
235,453546,2141523
236,485181,2140857
237,517815,2141190
238,539127,2142189
239,421245,2110554
240,453213,2110554
241,485181,2110554
242,525807,2117214
243,509823,2117547
244,525807,2102229
245,509823,2101896
246,539127,2110554
247,421578,2078919
248,453213,2078586
249,485514,2078253
250,525807,2085912
251,509157,2085246
252,526140,2069928
253,509490,2068596
254,539127,2078919
255,421245,2046951
256,453546,2046951
257,485514,2046951
258,525474,2053611
259,509823,2053278
260,525807,2036961
261,509490,2036961
262,539127,2046285
263,551115,1862802
264,535131,1862802
265,551115,1846485
266,535464,1846485
267,583749,1864134
268,567099,1863135
269,584082,1847484
270,568098,1847151
271,551781,1830501
272,536130,1829502
273,551781,1814184
274,536796,1814184
275,584748,1831500
276,568431,1831167
277,584748,1815516
278,568764,1814850
279,616383,1832832
280,600732,1832499
281,616716,1816182
282,600732,1815516
283,553113,1798200
284,537129,1797534
285,553446,1782549
286,537129,1781883
287,585081,1799532
288,569097,1798200
289,585747,1782882
290,569763,1782882
291,617049,1800531
292,601731,1799865
293,617715,1784214
294,601731,1783881
295,649683,1800864
296,633699,1800864
297,650682,1784880
298,633699,1784880
299,546453,1758906
300,578088,1760238
301,611055,1760571
302,643689,1760904
303,675657,1761570
304,714951,1768896
305,699300,1769229
306,715284,1753578
307,698967,1753578
308,727938,1762236
309,547452,1726938
310,579087,1727937
311,611721,1728936
312,644022,1729935
313,676656,1730268
314,707958,1730268
315,727938,1730934
316,548118,1694637
317,580419,1695636
318,448551,1852479
319,479187,1855476
320,511821,1853811
321,449217,1819512
322,480852,1821843
323,513486,1820844
324,449883,1787544
325,481851,1787877
326,514152,1788876
327,450549,1755576
328,482184,1755576
329,513819,1757907
330,452547,1723608
331,484182,1721610
332,515151,1726605
333,452214,1689975
334,484182,1690308
335,516150,1692639
336,452214,1657674
337,483849,1658340
338,516816,1659339
339,612720,1694970
340,646686,1694970
341,677988,1694970
342,713952,1696635
343,549117,1660338
344,581085,1661004
345,612720,1648017
346,636696,1665666
347,678654,1663335
348,714618,1665000
349,546453,1621377
350,580752,1623375
351,637695,1642356
352,660672,1634364
353,622377,1616715
354,680319,1618047
355,715284,1626372
356,744921,1828170
357,777888,1820844
358,804861,1807191
359,748584,1779552
360,790875,1779219
361,746253,1748583
362,776889,1749582
363,808524,1749582
364,747918,1699965
365,773559,1700964
366,802197,1713951
367,410256,1933398
368,383616,2091240
369,402264,2173158
370,434232,2173158
371,465867,2173158
372,499167,2172825
373,531801,2172825
374,563103,2172825
375,595737,2173158
376,631035,2173158
377,611721,2226438
378,519480,2217780
379,353646,2061270
380,384282,1933065
381,406260,1733598
382,390276,1642356
383,451215,1620378
384,621711,1586079
385,801531,1656009
386,839493,1780218
387,822843,1820178
388,453879,2026305
389,394605,2078253
390,393606,2052612
391,485181,2011320
